#Cu crystal, 4 shells                                     Feff 6.01l  potph 4.12
#Abs   Z=29 Rmt= 1.289 Rnm= 1.427 K shell
#Pot 1 Z=29 Rmt= 1.275 Rnm= 1.399
#Gam_ch=1.761E+00 H-L exch
#Mu=-5.493E+00 kf=1.793E+00 Vint=-1.774E+01 Rs_int= 2.023
#S02  1.000   Temp  190.00  Debye temp  315.00            Feff 6.01l ff2chi 2.01
#Curved wave amplitude ratio filter   4.000%
#   file           sig2  cw amp ratio   deg  nlegs  r effective
#feff0001.dat    0.00609    100.00     12.00     2   2.5527
#feff0002.dat    0.00748     22.99      6.00     2   3.6100
#feff0003.dat    0.00685     10.56     48.00     3   3.8290
#feff0004.dat    0.00756      8.67     48.00     3   4.3577
#feff0005.dat    0.00767     55.44     24.00     2   4.4213
#feff0006.dat    0.00772     10.61     48.00     3   4.7633
#feff0007.dat    0.00772     22.03     96.00     3   4.7633
#feff0008.dat    0.00775     18.96     12.00     2   5.1053
#feff0009.dat    0.00775      8.46     12.00     3   5.1053
#feff0010.dat    0.00775     43.81     24.00     3   5.1053
#feff0011.dat    0.00775      8.25     12.00     4   5.1053
#feff0014.dat    0.00775     32.88     12.00     4   5.1053
#  12/  14 paths used
#-------------------------------------------------------------------------------
#     k          chi          mag           phase @#
     4.1000   -1.626340E-02  3.901887E-02  1.213644E+01
     4.1500   -1.284393E-02  3.848621E-02  1.222612E+01
     4.2000   -9.833375E-03  3.946528E-02  1.231455E+01
     4.2500   -6.088981E-03  4.097251E-02  1.241721E+01
     4.3000   -1.267910E-03  4.353304E-02  1.253724E+01
     4.3500    5.266287E-03  4.686503E-02  1.267898E+01
     4.4000    1.378325E-02  5.066993E-02  1.284186E+01
     4.4500    2.362354E-02  5.395831E-02  1.301953E+01
     4.5000    3.435863E-02  5.729791E-02  1.320943E+01
     4.5500    4.518984E-02  6.055670E-02  1.340877E+01
     4.6000    5.515942E-02  6.364089E-02  1.361498E+01
     4.6500    6.288674E-02  6.609685E-02  1.382423E+01
     4.7000    6.803854E-02  6.838731E-02  1.403613E+01
     4.7500    7.007152E-02  7.051721E-02  1.424966E+01
     4.8000    6.866472E-02  7.250469E-02  1.446408E+01
     4.8500    6.356720E-02  7.404020E-02  1.467553E+01
     4.9000    5.524400E-02  7.554561E-02  1.488779E+01
     4.9500    4.393671E-02  7.703434E-02  1.510103E+01
     5.0000    3.002601E-02  7.850810E-02  1.531551E+01
     5.0500    1.410594E-02  7.991581E-02  1.553052E+01
     5.1000   -3.257258E-03  8.129593E-02  1.574804E+01
     5.1500   -2.124874E-02  8.259168E-02  1.596816E+01
     5.2000   -3.887851E-02  8.373748E-02  1.619080E+01
     5.2500   -5.517595E-02  8.457829E-02  1.641866E+01
     5.3000   -6.876229E-02  8.510744E-02  1.664862E+01
     5.3500   -7.856255E-02  8.525724E-02  1.687983E+01
     5.4000   -8.378706E-02  8.497685E-02  1.711122E+01
     5.4500   -8.374641E-02  8.390601E-02  1.734045E+01
     5.5000   -7.898611E-02  8.238478E-02  1.756700E+01
     5.5500   -7.020247E-02  8.045588E-02  1.778914E+01
     5.6000   -5.847277E-02  7.820321E-02  1.800496E+01
     5.6500   -4.489051E-02  7.574945E-02  1.821525E+01
     5.7000   -3.084359E-02  7.328691E-02  1.841516E+01
     5.7500   -1.732678E-02  7.105762E-02  1.860323E+01
     5.8000   -4.879061E-03  6.934669E-02  1.877914E+01
     5.8500    6.383420E-03  6.834143E-02  1.894310E+01
     5.9000    1.701582E-02  6.847369E-02  1.910069E+01
     5.9500    2.777769E-02  6.991108E-02  1.925816E+01
     6.0000    3.938884E-02  7.268287E-02  1.942229E+01
     6.0500    5.227625E-02  7.665066E-02  1.960006E+01
     6.1000    6.608829E-02  8.156868E-02  1.979408E+01
     6.1500    7.972447E-02  8.713524E-02  2.000494E+01
     6.2000    9.139197E-02  9.304295E-02  2.023169E+01
     6.2500    9.886813E-02  9.900312E-02  2.047258E+01
     6.3000    9.991181E-02  1.047564E-01  2.072566E+01
     6.3500    9.274868E-02  1.100754E-01  2.098907E+01
     6.4000    7.653242E-02  1.147641E-01  2.126115E+01
     6.4500    5.168024E-02  1.186558E-01  2.154050E+01
     6.5000    1.999882E-02  1.216115E-01  2.182595E+01
     6.5500   -1.578725E-02  1.231625E-01  2.211969E+01
     6.6000   -5.108309E-02  1.235270E-01  2.241749E+01
     6.6500   -8.157193E-02  1.226624E-01  2.271866E+01
     6.7000   -1.034393E-01  1.205507E-01  2.302262E+01
     6.7500   -1.140286E-01  1.171976E-01  2.332887E+01
     6.8000   -1.123140E-01  1.126307E-01  2.363696E+01
     6.8500   -9.909359E-02  1.068990E-01  2.394645E+01
     6.9000   -7.686027E-02  1.000708E-01  2.425694E+01
     6.9500   -4.936699E-02  9.223236E-02  2.456794E+01
     7.0000   -2.096477E-02  8.348650E-02  2.487891E+01
     7.0500    4.206427E-03  7.381398E-02  2.518976E+01
     7.1000    2.269430E-02  6.353982E-02  2.549797E+01
     7.1500    3.273704E-02  5.281559E-02  2.580128E+01
     7.2000    3.430301E-02  4.180423E-02  2.609514E+01
     7.2500    2.898515E-02  3.068873E-02  2.636878E+01
     7.3000    1.958691E-02  1.971740E-02  2.658842E+01
     7.3500    9.488877E-03  9.561284E-03  2.658039E+01
     7.4000    1.927143E-03  6.271262E-03  2.544509E+01
     7.4500   -6.715012E-04  1.449331E-02  2.508639E+01
