24353	0.26645	0.25416	0.26227	0.26452	0.25687	0.26021	0.26284	0.26228	0.26	0.26164
24354	0.31368	0.29575	0.30787	0.30707	0.30457	0.30674	0.30498	0.30919	0.30453	0.30519
24355	0.3559	0.33916	0.35183	0.3496	0.34801	0.34948	0.34954	0.35457	0.34815	0.34831
24356	0.40216	0.38425	0.39427	0.39439	0.39044	0.39256	0.39264	0.3956	0.39098	0.39144
24357	0.44412	0.42589	0.43452	0.43805	0.43214	0.43253	0.432	0.43789	0.4311	0.43292
24358	0.48601	0.47396	0.47625	0.47713	0.47367	0.4753	0.47508	0.48017	0.47183	0.47312
24359	0.52855	0.52347	0.51447	0.51664	0.51524	0.51755	0.51458	0.52007	0.51434	0.51311
24360	0.56962	0.5767	0.55884	0.5585	0.55743	0.55807	0.55924	0.5633	0.55702	0.55532
24361	0.61284	0.63149	0.60358	0.60831	0.60396	0.60361	0.60537	0.6114	0.60434	0.60426
24362	0.66183	0.69384	0.65695	0.65878	0.6556	0.65728	0.65409	0.66485	0.65712	0.65553
24363	0.71672	0.75043	0.70879	0.71112	0.70925	0.70928	0.70975	0.71667	0.70893	0.70788
24364	0.77211	0.80395	0.75877	0.76242	0.76149	0.76158	0.76148	0.76897	0.76104	0.75694
24365	0.82197	0.85242	0.80802	0.81322	0.80912	0.8084	0.8096	0.8164	0.80986	0.80771
24366	0.86656	0.89426	0.85334	0.86178	0.85489	0.85353	0.8539	0.86214	0.85418	0.85486
24367	0.90376	0.92677	0.89231	0.89793	0.89502	0.89356	0.89206	0.90117	0.89282	0.89048
24368	0.93256	0.94979	0.92356	0.92594	0.92371	0.92262	0.92098	0.9305	0.92207	0.91992
24369	0.95276	0.96549	0.94428	0.94703	0.9452	0.94332	0.942	0.94975	0.94461	0.94208
24370	0.96595	0.9737	0.95762	0.95936	0.95904	0.95813	0.95688	0.96377	0.95923	0.95763
24371	0.97081	0.97679	0.96541	0.9696	0.96785	0.96622	0.96648	0.96993	0.96728	0.96669
24372	0.97471	0.97365	0.96998	0.97446	0.9732	0.97112	0.97195	0.97449	0.97225	0.97261
24373	0.9688	0.96497	0.97125	0.97438	0.97421	0.9722	0.97239	0.97333	0.97462	0.97409
24374	0.96418	0.95289	0.96831	0.97001	0.97161	0.96837	0.96941	0.96711	0.97118	0.97122
24375	0.95582	0.94013	0.96095	0.96399	0.96606	0.9619	0.96458	0.95909	0.96516	0.96488
24376	0.94532	0.93002	0.95243	0.95674	0.95704	0.95368	0.95709	0.95231	0.95828	0.95507
24377	0.9339	0.92152	0.94398	0.94687	0.94811	0.94528	0.94809	0.93957	0.94801	0.94697
24378	0.92497	0.91533	0.9337	0.93687	0.94018	0.93695	0.93821	0.92921	0.93875	0.93957
24379	0.91354	0.91356	0.92528	0.93032	0.93246	0.93046	0.93056	0.92143	0.93389	0.93259
24380	0.90992	0.91316	0.92232	0.92524	0.9282	0.92673	0.92577	0.9161	0.92911	0.92803
24381	0.90908	0.91644	0.9188	0.92475	0.92401	0.92453	0.92303	0.91674	0.92597	0.92607
24382	0.91064	0.92388	0.9197	0.92748	0.92719	0.92526	0.92462	0.91822	0.92764	0.92628
