7100,3160256503 -4,85193240756132E-4
7101,19797924236 5,10289442864575E-4
7102,07993283442 5,10289442864575E-4
7102,96188642647 5,10289442864575E-4
7103,84384001853 5,10289442864575E-4
7104,72579361058 5,10289442864575E-4
7105,60774720264 0,00150577212648528
7106,4897007947 0,00200351346829564
7107,37165438675 0,00648318554458793
7108,25360797881 0,00847415091182935
7109,13556157086 0,00847415091182935
7110,01751516292 0,0104651162790699
7110,89946875498 0,013451564329932
7111,78142234703 0,0164380123807932
7112,66337593909 0,0234063911661373
7113,54532953114 0,0358499247113944
7114,4272831232 0,0458047515475997
7115,30923671526 0,04630249288941
7116,19119030731 0,0398318554458763
7117,07314389937 0,0388363727622556
7117,95509749142 0,0458047515475997
7118,83705108348 0,0597415091182869
7119,71900467554 0,0836330935251803
7120,60095826759 0,122954659528192
7121,48291185965 0,171733311025599
7122,22399786408 0,223940847322142
7122,86096434723 0,290394846913167
7123,39993598682 0,361538676035916
7123,9082842378 0,442030561597234
7124,41663248878 0,522838473407321
7124,99569292801 0,59924787442773
7125,55582254518 0,665492722101389
7126,00904869666 0,732005713258851
7126,49902291447 0,800015615414645
7126,93999971049 0,862573914290495
7127,20458578811 0,916164742624505
7127,60146490453 0,97978082650159
7127,98731960106 1,04560909412005
7128,31805219808 1,10514527912554
7128,75902899411 1,17478166304166
7129,22756683989 1,24187719591768
7129,86934556982 1,30430818136189
7130,61480634406 1,36454278437715
7131,51513396928 1,422059561653
7132,39708756134 1,46337209302326
7133,2790411534 1,48577045340472
7134,16099474545 1,47929981596118
7135,04294833751 1,45889242094696
7135,92490192956 1,42853019909654
7136,82890436142 1,38622218504266
7137,68880911367 1,34690061903965
7138,57076270573 1,30708131169483
7139,45271629779 1,26726200435001
7140,33466988984 1,23540655847415
7141,2166234819 1,2085285260164
7142,09857707395 1,18563242429312
7142,98053066601 1,16273632256985
7143,86248425807 1,14481763426468
7144,74443785012 1,13038313535218
7145,62639144218 1,11943282583236
7146,50834503423 1,10898025765434
7147,39029862629 1,09952317215995
7148,27225221835 1,08608415593107
7149,1542058104 1,06418353689142
7150,03615940246 1,0392964698009
7150,91811299451 1,01042747197591
7151,80006658657 0,985042663543584
7152,68202017863 0,958164631085829
7153,56397377068 0,935766270704367
7154,44592736274 0,915358875690146
7155,32788095479 0,894453739334114
7156,20983454685 0,881512464447047
7157,09178813891 0,874046344319893
7157,97374173096 0,861105069432826
7158,85569532302 0,852643466622051
7159,73764891507 0,852643466622051
7160,61960250713 0,852643466622051
7161,50155609919 0,852643466622051
7162,38350969124 0,856127656014723
7163,2654632833 0,867077965534549
7164,14741687535 0,877032792370755
7165,02937046741 0,889476325916011
7165,91132405946 0,902915342144889
7166,79327765152 0,918345323741007
7167,67523124358 0,931286598628074
7168,55718483563 0,951693993642296
7169,43913842769 0,966626233896604
7170,32109201974 0,981558474150912
7171,2030456118 0,998481679772461
7172,08499920386 1,0099297306341
7172,96695279591 1,02635519491384
7173,84890638797 1,03631002175004
7174,73085998002 1,05024677932073
7175,61281357208 1,05970386481512
7176,49476716414 1,06667224360047
7177,37672075619 1,07463610506943
7178,25867434825 1,07911577714573
7179,1406279403 1,08359544922202
7179,69184893534 1,08359544922202
