	MnO2
6520	0,0278535771543083
6520,25062656642	0,0275547338536721
6520,50125313283	0,0272558905530359
6520,75187969925	0,0269570472523997
6521,00250626566	0,0266585525375001
6521,25313283208	0,0264177101913946
6521,5037593985	0,026176867845289
6521,75438596491	0,0259360254991835
6522,00501253133	0,0256720300751884
6522,25563909774	0,0242735338345869
6522,50626566416	0,0228750375939855
6522,75689223058	0,021476541353384
6523,00751879699	0,0200923031301983
6523,25814536341	0,0191690741367937
6523,50877192982	0,0182458451433891
6523,75939849624	0,0173226161499845
6524,01002506266	0,0164033967919798
6524,26065162907	0,0155713165914785
6524,51127819549	0,0147392363909773
6524,7619047619	0,0139071561904761
6525,01253132832	0,0131006502005012
6525,26315789474	0,0127422542105263
6525,51378446115	0,0123838582205514
6525,76441102757	0,0120254622305765
6526,01503759398	0,0115871415051115
6526,2656641604	0,00997972636386221
6526,51629072682	0,00837231122261286
6526,76691729323	0,00676489608136352
6527,01754385965	0,00519947368421155
6527,26817042606	0,00419195488721911
6527,51879699248	0,00318443609022666
6527,7694235589	0,00217691729323422
6528,02005012531	0,00114294593770014
6528,27067669173	-1,95229841067546E-4
6528,52130325815	-0,00153340561983523
6528,77192982456	-0,00287158139860292
6529,02255639098	-0,00410883041770229
6529,27318295739	-0,00421649217949946
6529,52380952381	-0,00432415394129663
6529,77443609023	-0,0044318157030938
6530,02506265664	-0,00458895106659949
6530,27568922306	-0,00525862125403174
6530,52631578947	-0,005928291441464
6530,77694235589	-0,00659796162889626
6531,02756892231	-0,00724314984066846
6531,27819548872	-0,00762834436390287
6531,52882205514	-0,00801353888713728
6531,77944862155	-0,0083987334103717
6532,03007518797	-0,008817127939489
6532,28070175439	-0,00957925259309661
6532,5313283208	-0,0103413772467042
6532,78195488722	-0,0111035019003146
6533,03258145363	-0,0118126949727259
6533,28320802005	-0,0119601223647354
6533,53383458647	-0,0121075497567449
6533,78446115288	-0,0122549771487544
6534,0350877193	-0,0123891590141855
6534,28571428571	-0,0123791639367611
6534,53634085213	-0,0123691688593368
6534,78696741855	-0,0123591737819124
6535,03759398496	-0,0126353053730743
6535,28822055138	-0,0161074408612919
6535,53884711779	-0,0151924005169598
6535,78947368421	-0,0153340879186642
6536,04010025063	-0,0167825671321062
6536,29072681704	-0,0124861117078369
6536,54135338346	-0,0145859795796342
6536,79197994988	-0,0152220431420396
6537,04260651629	-0,0130023555577571
6537,29323308271	-0,00833837773240825
6537,54385964912	-0,00940904283500976
6537,79448621554	-0,00768909866026649
6538,04511278196	-0,00367751901059472
6538,29573934837	-0,0051086536654141
6538,54636591479	6,84602130790989E-6
6538,7969924812	0,00696262083781154
6539,04761904762	0,0145714502164465
6539,29824561404	0,0213924800637946
6539,54887218045	0,0358273188653478
6539,79949874687	0,0514128372255267
6540,05012531328	0,0674843285564559
6540,3007518797	0,0858850311676544
6540,55137844612	0,0999649794187474
6540,80200501253	0,113659171009922
6541,05263157895	0,12771381578949
6541,30325814536	0,142124843358417
6541,55388471178	0,156046061096448
6541,8045112782	0,17097852934893
6542,05513784461	0,18479491911597
6542,30576441103	0,192085873775348
6542,55639097744	0,198369669621078
6542,80701754386	0,198767725777507
6543,05764411028	0,195561326246074
6543,30827067669	0,192598621470897
6543,55889724311	0,182714457389941
6543,80952380952	0,174055027056282
6544,06015037594	0,166825893541802
6544,31077694236	0,162078926787163
6544,56140350877	0,152868000398713
6544,81203007519	0,147930758695604
6545,0626566416	0,145264438828855
6545,31328320802	0,137770538515171
6545,56390977444	0,134183699120327
6545,81453634085	0,133549110026721
6546,06516290727	0,132580314170699
6546,31578947368	0,126744194125545
6546,5664160401	0,127707527269879
6546,81704260652	0,130607314987138
6547,06766917293	0,134307734962407
6547,31829573935	0,136970642230578
6547,56892230576	0,143100246082632
6547,81954887218	0,152767749571957
6548,0701754386	0,163618835047965
6548,32080200501	0,170129445852595
6548,57142857143	0,18237327341531
6548,82205513784	0,196341505676343
6549,07268170426	0,21141143460632
6549,32330827068	0,228082006219528
6549,57393483709	0,248073291148639
6549,82456140351	0,27037877938467
6550,07518796992	0,294508835206767
6550,32581453634	0,321362226600437
6550,57644110276	0,350471827798894
6550,82706766917	0,383363197725106
6551,07769423559	0,418593794800442
6551,328320802	0,454650212357995
6551,57894736842	0,497995118532771
6551,82957393484	0,541475508738744
6552,08020050125	0,584039449400281
6552,33082706767	0,625123798691661
6552,58145363408	0,665422079988091
6552,8320802005	0,700890127553981
6553,08270676692	0,731652454441194
6553,33333333333	0,760410790960436
6553,58395989975	0,7806854573728
6553,83458646617	0,796610222590363
6554,08521303258	0,81076894609042
6554,335839599	0,824059964003472
6554,58646616541	0,838985675078767
6554,83709273183	0,853570274273228
6555,08771929825	0,868303972555116
6555,33834586466	0,883963470753119
6555,58897243108	0,901401132704595
6555,83959899749	0,92093046047318
6556,09022556391	0,941523366336625
6556,34085213033	0,962384832136836
6556,59147869674	0,982682752077916
6556,84210526316	1,00688326523542
6557,09273182957	1,031993835436
6557,34335839599	1,05575819888697
6557,59398496241	1,0829448094814
6557,84461152882	1,10957635110884
6558,09523809524	1,13723001475522
6558,34586466165	1,16686748872186
6558,59649122807	1,18924638063811
6558,84711779449	1,20742936196426
6559,0977443609	1,22509447145827
6559,34837092732	1,24145275958258
6559,59899749373	1,2450351619161
6559,84962406015	1,24917255067247
6560,10025062657	1,25189872394803
6560,35087719298	1,25128029735355
6560,6015037594	1,25015460175863
6560,85213032581	1,24890156463767
6561,10275689223	1,24675491729323
6561,35338345865	1,24389786670065
6561,60401002506	1,24283588972431
6561,85463659148	1,24222867923908
6562,1052631579	1,23915633809099
6562,35588972431	1,23293928485147
6562,60651629073	1,23150948083323
6562,85714285714	1,22959263115416
6563,10776942356	1,22649808973253
6563,35839598998	1,22274409965592
6563,60902255639	1,22287153689308
6563,85964912281	1,21892477143563
6564,11027568922	1,2158786588181
6564,36090225564	1,21494079127394
6564,61152882206	1,20489454890747
6564,86215538847	1,20219602484831
6565,11278195489	1,19743889794711
6565,3634085213	1,18869839846326
6565,61403508772	1,18416403624192
6565,86466165414	1,17798294482685
6566,11528822055	1,17206621032919
6566,36591478697	1,16710246224113
6566,61654135338	1,17030949297586
6566,8671679198	1,16760526231071
6567,11779448622	1,16528105625907
6567,36842105263	1,16476434210526
6567,61904761905	1,16288464285714
6567,86967418546	1,16139311634349
6568,12030075188	1,15796618737855
6568,3709273183	1,15289461611775
6568,62155388471	1,14717609446151
6568,87218045113	1,14278557722175
6569,12280701754	1,13664116301992
6569,37343358396	1,12870008537738
6569,62406015038	1,12336708073463
6569,87468671679	1,11902494976879
6570,12531328321	1,11387551534574
6570,37593984962	1,1083100582918
6570,62656641604	1,10479002224663
6570,87719298246	1,09930075117371
6571,12781954887	1,09660547393073
6571,37844611529	1,09697887962202
6571,6290726817	1,09092031584564
6571,87969924812	1,09324087035022
6572,13032581454	1,09351536333812
6572,38095238095	1,09078256362217
6572,63157894737	1,09213019499569
6572,88220551378	1,09346862493312
6573,1328320802	1,0941031643042
6573,38345864662	1,09518406754245
6573,63408521303	1,09921802885021
6573,88471177945	1,09856750241617
6574,13533834586	1,1005866801132
6574,38596491228	1,1040822368421
6574,6365914787	1,10596193609022
6574,88721804511	1,1106780576441
6575,13784461153	1,11258754512686
6575,38847117794	1,11221247331443
6575,63909774436	1,11337110760508
6575,88972431078	1,11653016743539
6576,14035087719	1,11715304918033
6576,39097744361	1,11598701459531
6576,64160401002	1,11647843923534
6576,89223057644	1,11824352939726
6577,14285714286	1,11800028411365
6577,39348370927	1,11708128087072
6577,64411027569	1,11768672707048
6577,89473684211	1,11638848985208
6578,14536340852	1,11422961261698
6578,39598997494	1,1118016613429
6578,64661654135	1,10948377512409
6578,89724310777	1,10488836726648
6579,14786967419	1,09874562337216
6579,3984962406	1,09229577789011
6579,64912280702	1,08805548528184
6579,89974937343	1,08643182506921
6580,15037593985	1,08155971005947
6580,40100250627	1,0748304686553
6580,65162907268	1,06810122725114
6580,9022556391	1,06296818222026
6581,15288220551	1,05886642455814
6581,40350877193	1,05476466689601
6581,65413533835	1,04888779694336
6581,90476190476	1,04158850295675
6582,15538847118	1,03428920897015
6582,40601503759	1,02819563281573
6582,65664160401	1,02329434565527
6582,90726817043	1,0183930584948
6583,15789473684	1,01315433420365
6583,40852130326	1,00749724107919
6583,65914786967	1,00184014795473
6583,90977443609	0,995914143130924
6584,16040100251	0,989567744922517
6584,41102756892	0,983221346714111
6584,66165413534	0,977892664559563
6584,91228070175	0,97342653840868
6585,16290726817	0,968960412257797
6585,41353383459	0,96348300732274
6585,664160401	0,956931426284092
6585,91478696742	0,950379845245445
6586,16541353383	0,945062419364335
6586,41604010025	0,941417536923244
6586,66666666667	0,937772654482153
6586,91729323308	0,933196963268655
6587,1679197995	0,927024426320024
6587,41854636592	0,920851889371393
6587,66917293233	0,916051762849101
6587,91979949875	0,914336261579631
6588,17042606516	0,912620760310162
6588,42105263158	0,910009214936785
6588,671679198	0,904674649472842
6588,92230576441	0,899340084008899
6589,17293233083	0,895171964199935
6589,42355889724	0,892822544366126
6589,67418546366	0,890473124532317
6589,92481203008	0,888409381853067
6590,17543859649	0,886924549981722
6590,42606516291	0,885439718110377
6590,67669172932	0,883568306849256
6590,92731829574	0,880630715151632
6591,17794486216	0,877693123454008
6591,42857142857	0,875421027308192
6591,67919799499	0,875717607510323
6591,9298245614	0,876014187712454
6592,18045112782	0,876359371126562
6592,43107769424	0,877009532093833
6592,68170426065	0,877659693061104
6592,93233082707	0,878045141956454
6593,18295739348	0,877738385481934
6593,4335839599	0,877431629007415
6593,68421052632	0,877520487253288
6593,93483709273	0,879077113193137
6594,18546365915	0,880633739132987
6594,43609022556	0,882006784809879
6594,68671679198	0,882322919750612
6594,9373433584	0,882639054691345
6595,18796992481	0,883110508094752
6595,43859649123	0,88537592093046
6595,68922305764	0,887641333766168
6595,93984962406	0,888952229533525
6596,19047619048	0,886775135302497
6596,44110275689	0,884598041071469
6596,69172932331	0,882826927657245
6596,94235588972	0,883420088061506
6597,19298245614	0,884013248465768
6597,44360902256	0,884421972854214
6597,69423558897	0,882657822217884
6597,94486215539	0,880893671581554
6598,1954887218	0,879138588614394
6598,44611528822	0,878900981609869
6598,69674185464	0,878663374605345
6598,94736842105	0,87842576760082
6599,19799498747	0,878152898414325
6599,44862155388	0,877877522910196
6599,6992481203	0,877507951274291
6599,94987468672	0,875779604433163
6600,20050125313	0,874051257592035
6600,45112781955	0,872322910750908
6600,70175438596	0,872135548872181
6600,95238095238	0,871959784786642
6601,2030075188	0,871784020701104
6601,45363408521	0,870076888557322
6601,70426065163	0,868237010002308
6601,95488721804	0,866397131447295
6602,20551378446	0,867480868199707
6602,45614035088	0,86910523509748
6602,70676691729	0,870729601995252
6602,95739348371	0,869267503096263
6603,20802005013	0,867726686073162
6603,45864661654	0,866185869050061
6603,70927318296	0,867187045142035
6603,95989974937	0,868474309996779
6604,21052631579	0,869761574851523
6604,46115288221	0,871056505201977
6604,71177944862	0,872353089241828
6604,96240601504	0,873649673281678
6605,21303258145	0,874931294903925
6605,46365914787	0,876212058421018
6605,71428571429	0,87749282193811
6605,9649122807	0,881716216934812
6606,21553884712	0,886381377244913
6606,46616541353	0,891046537555015
6606,71679197995	0,890700284487129
6606,96741854637	0,88901537272586
6607,21804511278	0,887330460964592
6607,4686716792	0,887736983234788
6607,71929824561	0,889002282405045
6607,96992481203	0,890267581575301
6608,22055137845	0,890836129132665
6608,47117794486	0,891264107227968
6608,72180451128	0,89169208532327
6608,97243107769	0,893256718220426
6609,22305764411	0,895204593088945
6609,47368421053	0,897152467957463
6609,72431077694	0,89782784645386
6609,97493734336	0,897869559613319
6610,22556390977	0,897911272772778
6610,47619047619	0,899309640855049
6610,72681704261	0,901066944852429
6610,97744360902	0,902824248849809
6611,22807017544	0,903463537331701
6611,47869674185	0,903638393075713
6611,72932330827	0,903813248819724
6611,97994987469	0,905200982760916
6612,2305764411	0,907337630979133
6612,48120300752	0,909474279197349
6612,73182957394	0,909810120106358
6612,98245614035	0,908574343684694
6613,23308270677	0,90733856726303
6613,48370927318	0,907339366698401
6613,7343358396	0,907996694773109
6613,98496240602	0,908654022847818
6614,23558897243	0,910136371937597
6614,48621553885	0,912254069281731
6614,73684210526	0,914371766625866
6614,98746867168	0,916164094468535
6615,2380952381	0,917599217545938
6615,48872180451	0,919034340623341
6615,73934837093	0,920610905785134
6615,98997493734	0,922284987630576
6616,24060150376	0,923959069476017
6616,49122807018	0,925533379227711
6616,74185463659	0,927009363001579
6616,99248120301	0,928485346775446
6617,24310776942	0,930644125410484
6617,49373433584	0,93379604954214
6617,74436090226	0,936947973673796
6617,99498746867	0,940055825969561
6618,24561403509	0,943124063573881
6618,4962406015	0,946192301178202
6618,74686716792	0,94870133343035
6618,99749373434	0,950470271905571
6619,24812030075	0,952239210380792
6619,49874686717	0,954396762555563
6619,74937343358	0,957314969675572
6620	0,960233176795581
