	MnO
6520	0,04920139278557
6520,25062656642	0,0482496145423673
6520,50125313283	0,0472978362991646
6520,75187969925	0,046346058055962
6521,00250626566	0,0453908478152352
6521,25313283208	0,0438680217310054
6521,5037593985	0,0423451956467755
6521,75438596491	0,0408223695625457
6522,00501253133	0,0393587719298241
6522,25563909774	0,0407973684210522
6522,50626566416	0,0422359649122802
6522,75689223058	0,0436745614035082
6523,00751879699	0,0450449373433588
6523,25814536341	0,0442095154553051
6523,50877192982	0,0433740935672515
6523,75939849624	0,0425386716791979
6524,01002506266	0,0417468355388472
6524,26065162907	0,0419022240100251
6524,51127819549	0,042057612481203
6524,7619047619	0,042213000952381
6525,01253132832	0,0423016799749373
6525,26315789474	0,0412214794736842
6525,51378446115	0,0401412789724311
6525,76441102757	0,039061078471178
6526,01503759398	0,038055126903172
6526,2656641604	0,0381352472840443
6526,51629072682	0,0382153676649165
6526,76691729323	0,0382954880457887
6527,01754385965	0,0384366666666657
6527,26817042606	0,0393890476190466
6527,51879699248	0,0403414285714275
6527,7694235589	0,0412938095238084
6528,02005012531	0,0420975634195279
6528,27067669173	0,0411921061636141
6528,52130325815	0,0402866489077003
6528,77192982456	0,0393811916517864
6529,02255639098	0,0385830627267458
6529,27318295739	0,0389861683930096
6529,52380952381	0,0393892740592734
6529,77443609023	0,0397923797255373
6530,02506265664	0,0401039085000639
6530,27568922306	0,0394667223142608
6530,52631578947	0,0388295361284578
6530,77694235589	0,0381923499426547
6531,02756892231	0,0375714686916906
6531,27819548872	0,037123742590009
6531,52882205514	0,0366760164883274
6531,77944862155	0,0362282903866459
6532,03007518797	0,0359910111769933
6532,28070175439	0,0379325549666756
6532,5313283208	0,039874098756358
6532,78195488722	0,0418156425460473
6533,03258145363	0,0436065680152525
6533,28320802005	0,0437989732556716
6533,53383458647	0,0439913784960908
6533,78446115288	0,0441837837365099
6534,0350877193	0,0443032334575214
6534,28571428571	0,0436285657313764
6534,53634085213	0,0429538980052313
6534,78696741855	0,0422792302790863
