energy 117 130 140 150 163 173 180 190 200 210 220 230 240 260 280 300
7697.25 -0.0018 -0.00139 0.00106 0.00243 0.00165 0.00223 -0.00245 0.0022 0.0017 -0.00104 0.00004 0.0049 0.0057 0.00417 0.00366 0.00972
7697.5 -0.00445 -0.0008 0.00117 0.00242 -0.00004 0.00332 -0.00407 -0.00086 -0.00048 -0.00185 -0.00121 0.0057 0.0054 0.0025 0.00484 0.00878
7697.75 -0.00131 0.00153 0.00032 0.00043 -0.00068 0.00347 -0.00577 -0.00171 -0.00186 -0.002 -0.00196 0.00526 0.00452 0.00126 0.00555 0.01202
7698 0.00078 0.0036 -0.00109 -0.00268 -0.00063 0.00194 -0.00756 -0.0006 -0.00204 -0.00077 -0.00143 0.00462 -0.00013 0.00134 0.00397 0.00244
7698.25 0.00124 0.00411 -0.00079 -0.00126 0.00027 0.00247 -0.00393 0.00011 -0.00353 0.00016 -0.0003 0.00368 -0.0011 0.00012 0.0015 -0.01271
7698.5 0.0026 0.00291 -0.00051 0.00051 0.00111 0.004 0.00231 0.00045 -0.00547 0.00091 0.00127 0.00235 0.0022 -0.00219 -0.0025 -0.0252
7698.75 0.00429 0.00024 -0.00048 0.00265 0.00154 0.00361 0.00108 -0.00076 -0.00419 0.00151 0.00149 0.0011 0.00398 -0.00285 -0.00025 -0.02988
7699 0.00213 0.00027 0.00117 0.00388 0.0025 0.00304 0.00006 -0.00151 -0.0025 0.00216 0.0015 -0.00008 0.00527 -0.00264 0.00488 -0.01856
7699.25 0.00166 0.00079 0.00398 0.00448 0.00389 0.00213 -0.00033 -0.00174 -0.00002 0.00296 0.00126 -0.00049 0.00594 0.00053 0.00599 -0.00583
7699.5 0.00458 0.00139 0.00276 0.00531 0.00441 0.00283 0.00108 -0.00226 0.00045 0.0019 0.00112 -0.00131 0.00621 0.00231 0.00608 0.00768
7699.75 0.00602 0.00228 0.00221 0.00579 0.00463 0.00454 0.0036 -0.0026 -0.00013 -0.0005 0.00105 -0.00285 0.00591 0.0026 0.00396 0.00569
7700 0.00664 0.00351 0.00595 0.00481 0.0041 0.00481 0.00297 -0.00082 0.00045 -0.00033 -0.00107 -0.00318 0.0052 0.00328 0.00466 0.00165
7700.25 0.00512 0.00444 0.00734 0.0049 0.00435 0.00522 0.00259 0.00062 0.00119 -0.00005 -0.0033 -0.00292 0.00436 0.00399 0.00705 -0.00603
7700.5 0.00435 0.00493 0.0066 0.00595 0.00538 0.00636 0.00367 0.00158 0.00224 -0.0005 -0.00406 -0.00251 0.00481 0.00422 0.0073 -0.00635
7700.75 0.00587 0.0024 0.00794 0.0064 0.00581 0.00738 0.00219 0.00119 0.00285 0.00016 -0.00252 -0.00024 0.00562 0.00575 0.00798 -0.00142
7701 0.00655 0.00172 0.00915 0.00685 0.00621 0.00829 -0.00131 0.00043 0.00318 0.00182 0.00162 0.00632 0.0071 0.00905 0.01034 0.00118
7701.25 0.00665 0.00358 0.00732 0.008 0.00746 0.00759 -0.00034 0.00211 0.00561 0.00175 0.00298 0.00739 0.00775 0.00876 0.011 0.00344
7701.5 0.00783 0.00556 0.00648 0.00778 0.00864 0.00708 0.00142 0.0033 0.00743 0.00124 0.00356 0.0051 0.00798 0.00721 0.01036 0.00552
7701.75 0.00913 0.00745 0.00679 0.006 0.00974 0.00843 0.00383 0.00362 0.00641 0.00018 0.00419 0.00531 0.00807 0.00579 0.01257 0.00822
7702 0.01036 0.00637 0.00625 0.0057 0.00781 0.00868 0.00506 0.00409 0.00687 0.00018 0.00434 0.00709 0.00808 0.00581 0.01474 0.01149
7702.25 0.0104 0.00619 0.00555 0.00574 0.00511 0.00779 0.00512 0.00464 0.00861 0.0014 0.00379 0.01317 0.00788 0.00833 0.0151 0.00523
7702.5 0.00937 0.00765 0.00566 0.00515 0.0067 0.00683 0.00466 0.00499 0.00824 0.00396 0.0044 0.01447 0.0072 0.00917 0.01204 0.00106
7702.75 0.00945 0.0092 0.00715 0.00561 0.00763 0.00619 0.00461 0.00542 0.00786 0.00671 0.00545 0.01194 0.00619 0.00922 0.00562 0.0196
7703 0.0096 0.0108 0.01067 0.0076 0.00744 0.008 0.00814 0.00603 0.00934 0.00762 0.00608 0.01168 0.00938 0.00723 0.01212 0.02973
7703.25 0.00896 0.01063 0.00956 0.00755 0.01053 0.0102 0.01024 0.00736 0.01008 0.00813 0.0064 0.01262 0.0121 0.00649 0.02004 0.03015
7703.5 0.00902 0.01071 0.00673 0.00675 0.01513 0.01289 0.01052 0.00915 0.01001 0.00806 0.00612 0.01733 0.01192 0.00864 0.01869 0.01651
7703.75 0.00988 0.01146 0.00773 0.00764 0.01208 0.01444 0.00999 0.00876 0.011 0.00847 0.00445 0.01882 0.01289 0.01035 0.0177 0.0005
7704 0.00873 0.01138 0.00899 0.00897 0.01078 0.01564 0.0094 0.0089 0.01242 0.00915 0.00204 0.01704 0.01484 0.01177 0.01715 0.00198
7704.25 0.00745 0.01077 0.01079 0.01114 0.01349 0.01748 0.01203 0.01132 0.01505 0.01246 0.00414 0.01547 0.01714 0.01215 0.01518 0.00268
7704.5 0.01082 0.01351 0.01313 0.01375 0.01665 0.01845 0.01416 0.01369 0.01682 0.01438 0.00804 0.01425 0.01904 0.0126 0.01302 0.0022
7704.75 0.01435 0.01593 0.01578 0.01657 0.02008 0.01793 0.01545 0.016 0.01735 0.01361 0.01612 0.01518 0.01854 0.01352 0.01462 0.00316
7705 0.01812 0.01628 0.01789 0.01572 0.02007 0.0223 0.01979 0.01647 0.02041 0.01609 0.02314 0.01594 0.02032 0.01788 0.0183 0.00475
7705.25 0.01875 0.01933 0.01998 0.01629 0.02127 0.02893 0.02551 0.01684 0.02435 0.02032 0.02942 0.01648 0.02459 0.02502 0.02541 0.0085
7705.5 0.01828 0.02465 0.0221 0.02085 0.02696 0.03095 0.0245 0.01825 0.02608 0.0236 0.03115 0.0228 0.02658 0.03017 0.03222 0.01097
7705.75 0.0246 0.03294 0.02635 0.02565 0.0314 0.0331 0.02457 0.02164 0.02819 0.0264 0.03292 0.03075 0.02803 0.03468 0.03883 0.01093
7706 0.02971 0.04083 0.0321 0.03061 0.03484 0.03562 0.02705 0.02714 0.031 0.02802 0.03648 0.03259 0.03015 0.03766 0.03005 0.01818
7706.25 0.03239 0.04427 0.03595 0.03616 0.03882 0.04014 0.03241 0.03279 0.03371 0.0316 0.03996 0.03496 0.03236 0.03785 0.02443 0.02938
7706.5 0.0388 0.04781 0.04003 0.04166 0.04317 0.04588 0.03952 0.03799 0.03638 0.03654 0.04336 0.03822 0.03472 0.03513 0.02565 0.03311
7706.75 0.04728 0.05147 0.04578 0.04668 0.04886 0.0502 0.04345 0.03891 0.04157 0.0387 0.04482 0.03991 0.03738 0.03654 0.03034 0.03319
7707 0.05211 0.05575 0.04999 0.05029 0.05246 0.05379 0.04659 0.03979 0.04455 0.0406 0.04587 0.04083 0.0401 0.03864 0.03713 0.02412
7707.25 0.05519 0.05967 0.05277 0.05263 0.05385 0.0554 0.04797 0.04061 0.04163 0.04273 0.04662 0.04052 0.04134 0.03778 0.03963 0.02394
7707.5 0.05397 0.0588 0.05207 0.05275 0.05338 0.0577 0.04907 0.0431 0.04059 0.04476 0.04686 0.04069 0.04202 0.03702 0.03775 0.03018
7707.75 0.0525 0.05704 0.05031 0.05191 0.05229 0.06055 0.04994 0.04609 0.04083 0.0467 0.0465 0.04199 0.04163 0.0364 0.02345 0.0286
7708 0.05084 0.05399 0.04639 0.04793 0.04995 0.05847 0.04898 0.04561 0.0401 0.04571 0.04593 0.04153 0.04198 0.03693 0.01948 0.02734
7708.25 0.04694 0.05029 0.04473 0.04524 0.04856 0.05598 0.04756 0.04527 0.0395 0.04386 0.04531 0.03992 0.04273 0.03793 0.02376 0.03111
7708.5 0.04316 0.04632 0.04581 0.04409 0.04851 0.05537 0.04532 0.04522 0.03983 0.04044 0.04482 0.0427 0.04053 0.04006 0.02885 0.03419
7708.75 0.04105 0.04161 0.04403 0.04372 0.04857 0.05344 0.04419 0.04409 0.04087 0.03933 0.04481 0.04464 0.03884 0.041 0.03463 0.03662
7709 0.03986 0.03848 0.04167 0.04333 0.04858 0.05009 0.04425 0.04241 0.04257 0.04106 0.04555 0.04246 0.03882 0.03973 0.04305 0.04033
7709.25 0.03956 0.03842 0.04334 0.03983 0.04684 0.05164 0.0437 0.04371 0.04217 0.04176 0.04675 0.04287 0.03936 0.04151 0.04082 0.04466
7709.5 0.04043 0.03778 0.04395 0.03801 0.04512 0.05388 0.04329 0.0448 0.0416 0.04208 0.04814 0.04547 0.04029 0.04486 0.0274 0.05119
7709.75 0.04128 0.03684 0.04283 0.03889 0.04344 0.05061 0.0454 0.04508 0.04257 0.04176 0.0492 0.04858 0.04274 0.04783 0.03745 0.0531
7710 0.04019 0.03964 0.04405 0.0408 0.04573 0.04908 0.04629 0.04466 0.04371 0.04241 0.05081 0.05142 0.04501 0.0497 0.05021 0.04911
7710.25 0.04088 0.04199 0.0463 0.04317 0.05005 0.05004 0.04546 0.04377 0.04505 0.04464 0.05355 0.0524 0.04588 0.04877 0.03569 0.04513
7710.5 0.04389 0.04268 0.04472 0.04858 0.05092 0.05125 0.04854 0.04735 0.04914 0.04773 0.05644 0.05527 0.04864 0.04934 0.02532 0.04211
7710.75 0.04571 0.04574 0.04543 0.05266 0.05242 0.05268 0.05301 0.05156 0.05399 0.05123 0.05942 0.06027 0.05319 0.05097 0.02078 0.05418
7711 0.04708 0.05054 0.05128 0.0538 0.05586 0.05804 0.05457 0.0562 0.05733 0.05554 0.06324 0.06463 0.05389 0.05647 0.02174 0.06335
7711.25 0.04766 0.05457 0.05622 0.05728 0.05952 0.0633 0.05717 0.06163 0.061 0.0603 0.06748 0.06892 0.05514 0.0622 0.02509 0.06752
7711.5 0.05179 0.05932 0.06059 0.06218 0.06335 0.0684 0.06175 0.0678 0.06521 0.06604 0.07283 0.07449 0.06561 0.06709 0.03635 0.07363
7711.75 0.06211 0.06737 0.06495 0.06448 0.06996 0.07139 0.06755 0.07442 0.07174 0.0744 0.08001 0.08099 0.07329 0.07456 0.05179 0.08065
7712 0.06616 0.07274 0.06973 0.06803 0.07636 0.07324 0.074 0.08119 0.07931 0.08439 0.08864 0.08891 0.07743 0.08444 0.07518 0.09425
7712.25 0.06716 0.07547 0.07589 0.07615 0.08072 0.08477 0.08023 0.08824 0.09027 0.09156 0.09816 0.09915 0.08708 0.09642 0.09353 0.10559
7712.5 0.07342 0.08142 0.08142 0.08259 0.08547 0.09534 0.08747 0.09682 0.10054 0.09954 0.10819 0.1104 0.09909 0.10897 0.10919 0.11132
7712.75 0.08 0.08785 0.08642 0.08764 0.0906 0.102 0.09748 0.10735 0.10921 0.11101 0.11992 0.12463 0.11965 0.12238 0.11916 0.12652
7713 0.08706 0.09245 0.09142 0.09524 0.09848 0.11034 0.1067 0.11734 0.12082 0.12392 0.13381 0.13876 0.13678 0.13611 0.13142 0.14793
7713.25 0.09476 0.0986 0.09721 0.10348 0.10743 0.11993 0.11534 0.12741 0.13431 0.13808 0.14999 0.15268 0.14791 0.15025 0.1506 0.16851
7713.5 0.10289 0.10686 0.10711 0.11283 0.11964 0.12671 0.12578 0.14164 0.14998 0.15647 0.16609 0.17061 0.16803 0.16948 0.16962 0.18676
7713.75 0.11027 0.11608 0.11621 0.12241 0.13175 0.13504 0.13753 0.15696 0.16732 0.17632 0.18287 0.1909 0.19253 0.19078 0.18851 0.19706
7714 0.11847 0.12568 0.1244 0.13223 0.14374 0.15166 0.15373 0.17416 0.18964 0.19985 0.20591 0.21428 0.21808 0.21842 0.22258 0.21371
7714.25 0.13002 0.13557 0.13616 0.14529 0.15645 0.1698 0.17063 0.19465 0.21383 0.22453 0.2306 0.23962 0.24595 0.24759 0.25719 0.23602
7714.5 0.13919 0.14658 0.14897 0.15921 0.16958 0.18946 0.18821 0.21675 0.23964 0.25051 0.25768 0.27043 0.27953 0.27941 0.28568 0.26428
7714.75 0.14616 0.15962 0.16198 0.1725 0.18587 0.20947 0.20998 0.24286 0.26665 0.27784 0.28738 0.30207 0.31009 0.31282 0.31625 0.29509
7715 0.15966 0.17243 0.17493 0.18673 0.2037 0.23031 0.23301 0.27019 0.29432 0.30622 0.31821 0.33439 0.33861 0.347 0.3489 0.33406
7715.25 0.17474 0.18511 0.18778 0.20238 0.22426 0.25697 0.25809 0.30031 0.32444 0.34209 0.35187 0.37028 0.37794 0.38488 0.38996 0.3723
7715.5 0.19129 0.20554 0.20615 0.22331 0.24577 0.28196 0.28529 0.33395 0.35756 0.37986 0.38734 0.40784 0.41963 0.42564 0.43455 0.40964
7715.75 0.20949 0.22601 0.22692 0.24648 0.26777 0.30462 0.31543 0.37002 0.39426 0.42069 0.42649 0.45099 0.46589 0.47347 0.49128 0.46187
7716 0.22982 0.2458 0.24609 0.26764 0.29378 0.32858 0.34447 0.39772 0.43334 0.46049 0.46562 0.49378 0.5109 0.5191 0.547 0.51777
7716.25 0.24859 0.26806 0.26683 0.29034 0.32082 0.35336 0.37333 0.4276 0.47323 0.49985 0.50472 0.53617 0.55472 0.56322 0.60132 0.55692
7716.5 0.26731 0.2921 0.29105 0.31639 0.35023 0.3878 0.40853 0.46932 0.5139 0.54513 0.55041 0.58364 0.60749 0.60962 0.64659 0.60106
7716.75 0.29484 0.32362 0.31926 0.34775 0.38235 0.42464 0.44733 0.5147 0.55939 0.59243 0.59964 0.63307 0.66218 0.65855 0.68924 0.65361
7717 0.32469 0.35641 0.34996 0.38237 0.41641 0.46622 0.4931 0.56358 0.61287 0.64437 0.6584 0.68822 0.71689 0.71633 0.75484 0.71988
7717.25 0.35868 0.39039 0.38751 0.41775 0.45652 0.51355 0.54186 0.61855 0.66851 0.70247 0.71732 0.74559 0.77585 0.77442 0.81946 0.79274
7717.5 0.39347 0.42382 0.42428 0.45324 0.49733 0.56406 0.59225 0.67423 0.72515 0.76448 0.77637 0.8064 0.8403 0.8328 0.88218 0.85185
7717.75 0.42866 0.45671 0.4565 0.48886 0.53802 0.6022 0.63928 0.72555 0.77568 0.81693 0.8291 0.86236 0.89616 0.88751 0.94091 0.90776
7718 0.4647 0.49441 0.49306 0.52804 0.58122 0.64263 0.68616 0.776 0.82714 0.86884 0.88174 0.91621 0.94912 0.94145 0.99744 0.95629
7718.25 0.50167 0.53321 0.53339 0.57024 0.62689 0.69168 0.73307 0.82529 0.881 0.92189 0.93902 0.97074 1.00464 0.9957 1.04262 1.01221
7718.5 0.54102 0.57141 0.57423 0.61277 0.67121 0.74053 0.78051 0.8696 0.93185 0.97389 0.99373 1.02412 1.06092 1.04751 1.09109 1.07315
7718.75 0.57801 0.6079 0.61401 0.65363 0.71433 0.78921 0.82837 0.91253 0.9807 1.02494 1.04557 1.07495 1.1186 1.09606 1.15082 1.11683
7719 0.61332 0.64197 0.6471 0.68484 0.75071 0.82765 0.87183 0.96409 1.02841 1.07348 1.09548 1.12312 1.17024 1.14111 1.21061 1.15843
7719.25 0.64319 0.67256 0.6789 0.71668 0.78572 0.86445 0.9139 1.01032 1.07371 1.12031 1.14393 1.16965 1.21878 1.18476 1.27045 1.19943
7719.5 0.67268 0.70197 0.70916 0.74927 0.81884 0.90089 0.95248 1.04658 1.11046 1.15977 1.18237 1.21179 1.25812 1.22505 1.32196 1.24245
7719.75 0.70446 0.73844 0.7464 0.78391 0.85427 0.94033 0.99477 1.08338 1.15532 1.20224 1.22508 1.25315 1.3002 1.26519 1.36975 1.28741
7720 0.73685 0.77443 0.78189 0.81903 0.88915 0.97151 1.02925 1.12183 1.191 1.23683 1.26129 1.28855 1.33847 1.30084 1.40324 1.35199
7720.25 0.77572 0.81378 0.81681 0.85357 0.92168 1.00318 1.06362 1.15971 1.22554 1.26888 1.29375 1.32159 1.3715 1.33444 1.4351 1.37206
7720.5 0.81613 0.85407 0.85113 0.88754 0.95151 1.04069 1.10144 1.1967 1.25924 1.29669 1.3199 1.34828 1.39393 1.3589 1.4641 1.40521
7720.75 0.85994 0.89321 0.89203 0.92565 0.98985 1.07657 1.13754 1.23065 1.29004 1.32587 1.34512 1.37479 1.41667 1.38262 1.48942 1.44881
7721 0.90537 0.93623 0.93474 0.96508 1.03019 1.11094 1.17207 1.26327 1.31855 1.35651 1.36908 1.40147 1.44012 1.40517 1.50241 1.47902
7721.25 0.95215 0.98573 0.97889 1.00701 1.06338 1.1458 1.20515 1.29215 1.34434 1.38149 1.38944 1.42123 1.46134 1.42268 1.52221 1.50443
7721.5 0.99526 1.0291 1.02175 1.0486 1.09974 1.18089 1.23736 1.31737 1.36838 1.40419 1.4084 1.43592 1.48118 1.43797 1.54817 1.51689
7721.75 1.03909 1.0696 1.06277 1.08972 1.1413 1.21681 1.26591 1.33438 1.38604 1.4195 1.42442 1.44852 1.49085 1.44791 1.55765 1.52654
7722 1.09068 1.11724 1.1112 1.13345 1.17878 1.2506 1.29442 1.35462 1.40357 1.43397 1.43804 1.45982 1.499 1.45521 1.56352 1.53306
7722.25 1.13721 1.16362 1.16231 1.17802 1.21436 1.28163 1.3229 1.37691 1.42097 1.4472 1.44718 1.46663 1.50476 1.45648 1.56821 1.53629
7722.5 1.1777 1.20659 1.20112 1.2155 1.24835 1.31032 1.3495 1.39164 1.43264 1.4529 1.45285 1.47001 1.50759 1.45559 1.56614 1.53834
7722.75 1.21732 1.24437 1.23793 1.24981 1.27943 1.33789 1.37487 1.40515 1.44213 1.45548 1.45666 1.46978 1.50786 1.45331 1.55533 1.53767
7723 1.25599 1.27852 1.2705 1.27749 1.3034 1.35816 1.38754 1.41673 1.44523 1.45669 1.45543 1.46461 1.50229 1.44828 1.54522 1.5338
7723.25 1.28407 1.30579 1.29862 1.30492 1.32576 1.37684 1.3995 1.42536 1.44763 1.45564 1.45283 1.45778 1.49495 1.44099 1.53541 1.52474
7723.5 1.31158 1.33158 1.32407 1.3322 1.347 1.39249 1.41015 1.43127 1.44892 1.44961 1.44696 1.44751 1.48386 1.42631 1.5266 1.51558
7723.75 1.33807 1.35471 1.34553 1.34799 1.35911 1.40345 1.41793 1.43392 1.44501 1.44339 1.43906 1.43762 1.472 1.41383 1.51937 1.50639
7724 1.35646 1.37287 1.36498 1.36234 1.36954 1.41188 1.42418 1.43527 1.43874 1.43704 1.42956 1.42831 1.45917 1.40341 1.51514 1.49065
